dc (V),ID(A)_Vg = 0.6,ID(A)_Vg = 0.9,ID(A)_Vg = 1.8,ID(A)_Vg = 0.3,ID(A)_Vg = 1.2,ID(A)_Vg = 1.5
0,0,0,0,0,0,0
3.60E-02,2.03E-06,7.63E-06,2.17E-05,8.62E-09,1.31E-05,1.79E-05
7.20E-02,3.42E-06,1.43E-05,4.21E-05,1.05E-08,2.50E-05,3.44E-05
1.08E-01,4.26E-06,1.99E-05,6.11E-05,1.12E-08,3.58E-05,4.97E-05
1.44E-01,4.70E-06,2.47E-05,7.88E-05,1.16E-08,4.54E-05,6.38E-05
1.80E-01,4.94E-06,2.87E-05,9.54E-05,1.19E-08,5.41E-05,7.67E-05
2.16E-01,5.11E-06,3.18E-05,1.11E-04,1.22E-08,6.17E-05,8.86E-05
2.52E-01,5.24E-06,3.43E-05,1.25E-04,1.25E-08,6.84E-05,9.94E-05
2.88E-01,5.35E-06,3.61E-05,1.38E-04,1.28E-08,7.43E-05,1.09E-04
3.24E-01,5.45E-06,3.75E-05,1.51E-04,1.31E-08,7.92E-05,1.18E-04
3.60E-01,5.54E-06,3.85E-05,1.62E-04,1.34E-08,8.34E-05,1.26E-04
3.96E-01,5.63E-06,3.93E-05,1.72E-04,1.36E-08,8.69E-05,1.33E-04
4.32E-01,5.71E-06,4.00E-05,1.81E-04,1.39E-08,8.97E-05,1.39E-04
4.68E-01,5.78E-06,4.06E-05,1.90E-04,1.42E-08,9.19E-05,1.44E-04
5.04E-01,5.86E-06,4.11E-05,1.98E-04,1.45E-08,9.37E-05,1.49E-04
5.40E-01,5.92E-06,4.16E-05,2.04E-04,1.47E-08,9.51E-05,1.53E-04
5.76E-01,5.99E-06,4.20E-05,2.10E-04,1.50E-08,9.63E-05,1.56E-04
6.12E-01,6.06E-06,4.24E-05,2.15E-04,1.52E-08,9.73E-05,1.58E-04
6.48E-01,6.12E-06,4.27E-05,2.20E-04,1.55E-08,9.82E-05,1.60E-04
6.84E-01,6.18E-06,4.30E-05,2.23E-04,1.58E-08,9.89E-05,1.62E-04
7.20E-01,6.24E-06,4.33E-05,2.26E-04,1.60E-08,9.96E-05,1.63E-04
7.56E-01,6.29E-06,4.36E-05,2.28E-04,1.63E-08,1.00E-04,1.64E-04
7.92E-01,6.35E-06,4.38E-05,2.30E-04,1.66E-08,1.01E-04,1.65E-04
8.28E-01,6.41E-06,4.41E-05,2.31E-04,1.68E-08,1.01E-04,1.66E-04
8.64E-01,6.46E-06,4.43E-05,2.33E-04,1.71E-08,1.02E-04,1.67E-04
9.00E-01,6.51E-06,4.45E-05,2.34E-04,1.74E-08,1.02E-04,1.67E-04
9.36E-01,6.57E-06,4.47E-05,2.35E-04,1.77E-08,1.02E-04,1.68E-04
9.72E-01,6.62E-06,4.49E-05,2.36E-04,1.79E-08,1.03E-04,1.68E-04
1.008,6.67E-06,4.51E-05,2.36E-04,1.82E-08,1.03E-04,1.69E-04
1.044,6.72E-06,4.53E-05,2.37E-04,1.85E-08,1.03E-04,1.69E-04
1.08,6.77E-06,4.54E-05,2.37E-04,1.88E-08,1.04E-04,1.70E-04
1.116,6.82E-06,4.56E-05,2.38E-04,1.90E-08,1.04E-04,1.70E-04
1.152,6.87E-06,4.58E-05,2.38E-04,1.93E-08,1.04E-04,1.70E-04
1.188,6.92E-06,4.59E-05,2.39E-04,1.96E-08,1.04E-04,1.71E-04
1.224,6.97E-06,4.61E-05,2.39E-04,1.99E-08,1.05E-04,1.71E-04
1.26,7.02E-06,4.63E-05,2.40E-04,2.02E-08,1.05E-04,1.71E-04
1.296,7.07E-06,4.64E-05,2.40E-04,2.05E-08,1.05E-04,1.72E-04
1.332,7.11E-06,4.65E-05,2.40E-04,2.08E-08,1.05E-04,1.72E-04
1.368,7.16E-06,4.67E-05,2.41E-04,2.10E-08,1.06E-04,1.72E-04
1.404,7.21E-06,4.68E-05,2.41E-04,2.13E-08,1.06E-04,1.72E-04
1.44,7.26E-06,4.70E-05,2.41E-04,2.16E-08,1.06E-04,1.73E-04
1.476,7.30E-06,4.71E-05,2.42E-04,2.19E-08,1.06E-04,1.73E-04
1.512,7.35E-06,4.72E-05,2.42E-04,2.22E-08,1.06E-04,1.73E-04
1.548,7.40E-06,4.74E-05,2.42E-04,2.25E-08,1.06E-04,1.73E-04
1.584,7.44E-06,4.75E-05,2.42E-04,2.28E-08,1.07E-04,1.73E-04
1.62,7.49E-06,4.76E-05,2.43E-04,2.31E-08,1.07E-04,1.74E-04
1.656,7.54E-06,4.78E-05,2.43E-04,2.34E-08,1.07E-04,1.74E-04
1.692,7.58E-06,4.79E-05,2.43E-04,2.38E-08,1.07E-04,1.74E-04
1.728,7.63E-06,4.80E-05,2.43E-04,2.41E-08,1.07E-04,1.74E-04
1.764,7.68E-06,4.82E-05,2.43E-04,2.44E-08,1.08E-04,1.74E-04
1.8,7.72E-06,4.83E-05,2.44E-04,2.47E-08,1.08E-04,1.75E-04
