time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.285E-6
65.57E-12,2.098E-6
118.9E-12,1.817E-6
225.4E-12,1.248E-6
438.6E-12,-23.48E-6
625.8E-12,-82.06E-6
798.0E-12,-155.4E-6
899.0E-12,-195.1E-6
1.000E-9,-236.0E-6
1.021E-9,-236.4E-6
1.062E-9,-235.8E-6
1.098E-9,-235.2E-6
1.171E-9,-233.7E-6
1.316E-9,-228.3E-6
1.505E-9,-204.6E-6
1.717E-9,-144.5E-6
1.896E-9,-89.75E-6
2.104E-9,-44.73E-6
2.384E-9,-13.72E-6
2.588E-9,-6.179E-6
2.816E-9,-1.921E-6
3.076E-9,-956.6E-9
3.455E-9,209.6E-9
3.989E-9,-295.5E-9
4.825E-9,300.8E-9
6.337E-9,-301.0E-9
8.669E-9,301.1E-9
11.00E-9,-301.2E-9
11.09E-9,-1.022E-6
11.22E-9,-906.3E-9
11.47E-9,30.80E-6
11.66E-9,117.3E-6
11.82E-9,209.8E-6
11.91E-9,260.0E-6
12.00E-9,305.8E-6
12.02E-9,305.5E-6
12.06E-9,300.7E-6
12.09E-9,295.8E-6
12.16E-9,283.5E-6
12.29E-9,244.0E-6
12.45E-9,183.6E-6
12.62E-9,119.3E-6
12.87E-9,54.66E-6
13.08E-9,26.56E-6
13.28E-9,13.20E-6
13.49E-9,6.219E-6
13.74E-9,2.516E-6
14.06E-9,641.5E-9
14.47E-9,166.5E-9
15.05E-9,-63.47E-9
15.94E-9,61.46E-9
17.50E-9,-61.57E-9
20.00E-9,61.57E-9
20.10E-9,1.956E-6
20.23E-9,1.256E-6
20.49E-9,-34.71E-6
20.68E-9,-104.0E-6
20.85E-9,-176.7E-6
21.00E-9,-235.1E-6
21.03E-9,-236.3E-6
21.08E-9,-235.6E-6
21.12E-9,-234.7E-6
21.21E-9,-232.4E-6
21.39E-9,-221.9E-6
21.65E-9,-164.7E-6
21.84E-9,-105.8E-6
22.04E-9,-57.25E-6
22.22E-9,-28.07E-6
22.44E-9,-12.20E-6
22.64E-9,-4.771E-6
22.88E-9,-1.970E-6
23.18E-9,-190.9E-9
23.58E-9,-278.1E-9
24.17E-9,237.9E-9
25.11E-9,-233.2E-9
26.95E-9,232.7E-9
28.98E-9,-232.4E-9
31.00E-9,232.2E-9
31.09E-9,-1.035E-6
31.21E-9,-939.1E-9
31.44E-9,22.03E-6
31.64E-9,105.4E-6
31.80E-9,197.7E-6
31.90E-9,254.2E-6
32.00E-9,305.9E-6
32.02E-9,305.4E-6
32.06E-9,300.3E-6
32.10E-9,295.0E-6
32.17E-9,281.4E-6
32.31E-9,237.1E-6
32.47E-9,176.2E-6
32.64E-9,111.9E-6
32.93E-9,44.52E-6
33.13E-9,22.15E-6
33.34E-9,10.67E-6
33.54E-9,5.070E-6
33.81E-9,1.793E-6
34.15E-9,497.7E-9
34.61E-9,17.95E-9
35.24E-9,28.04E-9
36.26E-9,-31.10E-9
38.15E-9,31.41E-9
40.00E-9,-31.59E-9
40.08E-9,2.010E-6
40.20E-9,1.474E-6
40.42E-9,-18.70E-6
40.63E-9,-81.84E-6
40.80E-9,-155.6E-6
40.90E-9,-195.1E-6
41.00E-9,-236.1E-6
41.02E-9,-236.4E-6
41.06E-9,-235.8E-6
41.10E-9,-235.2E-6
41.17E-9,-233.7E-6
41.32E-9,-228.3E-6
41.50E-9,-204.5E-6
41.72E-9,-144.5E-6
41.90E-9,-89.75E-6
42.10E-9,-44.73E-6
42.38E-9,-13.73E-6
42.59E-9,-6.180E-6
42.82E-9,-1.924E-6
43.08E-9,-955.7E-9
43.45E-9,208.4E-9
43.99E-9,-294.3E-9
44.82E-9,299.6E-9
46.34E-9,-299.8E-9
48.67E-9,299.9E-9
51.00E-9,-300.0E-9
51.09E-9,-1.022E-6
51.22E-9,-906.2E-9
51.47E-9,30.82E-6
51.66E-9,117.4E-6
51.82E-9,209.8E-6
51.91E-9,260.0E-6
52.00E-9,305.8E-6
52.02E-9,305.5E-6
52.06E-9,300.7E-6
52.09E-9,295.8E-6
52.16E-9,283.5E-6
52.29E-9,244.0E-6
52.45E-9,183.6E-6
52.62E-9,119.3E-6
52.87E-9,54.68E-6
53.08E-9,26.57E-6
53.28E-9,13.20E-6
53.49E-9,6.221E-6
53.74E-9,2.518E-6
54.05E-9,641.9E-9
54.47E-9,166.7E-9
55.05E-9,-63.57E-9
55.94E-9,61.57E-9
57.50E-9,-61.68E-9
60.00E-9,61.68E-9
60.10E-9,1.956E-6
60.23E-9,1.255E-6
60.49E-9,-34.73E-6
60.68E-9,-104.0E-6
60.85E-9,-176.8E-6
61.00E-9,-235.1E-6
61.03E-9,-236.3E-6
61.08E-9,-235.6E-6
61.12E-9,-234.7E-6
61.21E-9,-232.4E-6
61.39E-9,-221.9E-6
61.65E-9,-164.7E-6
61.84E-9,-105.9E-6
62.04E-9,-57.26E-6
62.22E-9,-28.06E-6
62.44E-9,-12.20E-6
62.64E-9,-4.768E-6
62.88E-9,-1.969E-6
63.18E-9,-190.5E-9
63.58E-9,-278.3E-9
64.17E-9,238.2E-9
65.11E-9,-233.5E-9
66.95E-9,233.0E-9
68.98E-9,-232.7E-9
71.00E-9,232.5E-9
71.09E-9,-1.035E-6
71.21E-9,-939.1E-9
71.44E-9,22.02E-6
71.64E-9,105.4E-6
71.80E-9,197.7E-6
71.90E-9,254.2E-6
72.00E-9,305.9E-6
72.02E-9,305.4E-6
72.06E-9,300.3E-6
72.10E-9,295.0E-6
72.17E-9,281.4E-6
72.31E-9,237.1E-6
72.47E-9,176.2E-6
72.64E-9,111.9E-6
72.93E-9,44.51E-6
73.13E-9,22.15E-6
73.34E-9,10.67E-6
73.54E-9,5.068E-6
73.81E-9,1.792E-6
74.15E-9,497.4E-9
74.61E-9,17.81E-9
75.25E-9,28.11E-9
76.26E-9,-31.17E-9
78.16E-9,31.48E-9
80.00E-9,-31.66E-9
80.08E-9,2.010E-6
80.20E-9,1.474E-6
80.42E-9,-18.67E-6
80.63E-9,-81.80E-6
80.80E-9,-155.6E-6
80.90E-9,-195.1E-6
81.00E-9,-236.1E-6
81.02E-9,-236.4E-6
81.06E-9,-235.8E-6
81.10E-9,-235.2E-6
81.17E-9,-233.7E-6
81.32E-9,-228.3E-6
81.50E-9,-204.5E-6
81.72E-9,-144.5E-6
81.90E-9,-89.74E-6
82.10E-9,-44.72E-6
82.38E-9,-13.73E-6
82.59E-9,-6.181E-6
82.82E-9,-1.924E-6
83.08E-9,-955.9E-9
83.45E-9,208.5E-9
83.99E-9,-294.5E-9
84.82E-9,299.8E-9
86.34E-9,-300.0E-9
88.67E-9,300.1E-9
91.00E-9,-300.2E-9
91.09E-9,-1.022E-6
91.22E-9,-906.2E-9
91.47E-9,30.82E-6
91.66E-9,117.4E-6
91.82E-9,209.8E-6
91.91E-9,260.0E-6
92.00E-9,305.8E-6
92.02E-9,305.5E-6
92.06E-9,300.7E-6
92.09E-9,295.8E-6
92.16E-9,283.5E-6
92.29E-9,244.0E-6
92.45E-9,183.6E-6
92.62E-9,119.3E-6
92.87E-9,54.68E-6
93.08E-9,26.57E-6
93.28E-9,13.20E-6
93.49E-9,6.221E-6
93.74E-9,2.518E-6
94.05E-9,641.9E-9
94.47E-9,166.8E-9
95.05E-9,-63.59E-9
95.94E-9,61.58E-9
97.50E-9,-61.70E-9
100.0E-9,61.69E-9
100.1E-9,1.956E-6
100.2E-9,1.255E-6
100.5E-9,-34.74E-6
100.7E-9,-104.0E-6
100.9E-9,-176.8E-6
101.0E-9,-235.1E-6
101.0E-9,-236.3E-6
101.1E-9,-235.6E-6
101.1E-9,-234.7E-6
101.2E-9,-232.4E-6
101.4E-9,-221.9E-6
101.7E-9,-164.7E-6
101.8E-9,-105.9E-6
102.0E-9,-57.26E-6
102.2E-9,-28.06E-6
102.4E-9,-12.20E-6
