time (s),/vout (V)
0.000,1.800
37.05E-12,1.800
65.57E-12,1.801
118.9E-12,1.801
225.4E-12,1.802
438.5E-12,1.793
666.2E-12,1.745
833.1E-12,1.669
1.000E-9,1.555
1.027E-9,1.534
1.080E-9,1.491
1.129E-9,1.452
1.226E-9,1.375
1.421E-9,1.220
1.810E-9,915.4E-3
2.188E-9,632.7E-3
2.552E-9,397.3E-3
2.929E-9,219.7E-3
3.295E-9,113.0E-3
3.662E-9,54.81E-3
4.086E-9,22.38E-3
4.491E-9,9.364E-3
4.957E-9,3.319E-3
5.521E-9,883.2E-6
6.290E-9,102.6E-6
7.385E-9,-6.136E-6
9.127E-9,-1.136E-6
11.00E-9,353.3E-9
11.08E-9,-330.0E-6
11.20E-9,-808.9E-6
11.41E-9,5.318E-3
11.68E-9,69.84E-3
11.87E-9,190.1E-3
12.00E-9,312.3E-3
12.02E-9,337.9E-3
12.07E-9,389.0E-3
12.11E-9,433.8E-3
12.20E-9,522.3E-3
12.37E-9,695.5E-3
12.70E-9,1.018
13.08E-9,1.317
13.42E-9,1.509
13.81E-9,1.646
14.18E-9,1.720
14.57E-9,1.760
14.96E-9,1.780
15.41E-9,1.791
15.95E-9,1.797
16.64E-9,1.799
17.57E-9,1.800
18.89E-9,1.800
20.00E-9,1.800
20.07E-9,1.801
20.17E-9,1.801
20.32E-9,1.801
20.52E-9,1.784
20.73E-9,1.720
20.87E-9,1.650
21.00E-9,1.556
21.02E-9,1.537
21.07E-9,1.499
21.11E-9,1.465
21.20E-9,1.397
21.37E-9,1.261
21.71E-9,993.2E-3
22.17E-9,647.8E-3
22.55E-9,399.2E-3
22.95E-9,213.9E-3
23.31E-9,110.0E-3
23.68E-9,53.11E-3
24.10E-9,21.67E-3
24.51E-9,9.034E-3
24.98E-9,3.176E-3
25.55E-9,830.2E-6
26.33E-9,91.38E-6
27.44E-9,-6.166E-6
29.22E-9,-908.3E-9
31.00E-9,272.5E-9
31.08E-9,-323.2E-6
31.20E-9,-795.6E-6
31.40E-9,4.304E-3
31.67E-9,68.61E-3
31.87E-9,187.1E-3
32.00E-9,312.5E-3
32.02E-9,338.4E-3
32.07E-9,390.1E-3
32.12E-9,435.6E-3
32.20E-9,525.6E-3
32.37E-9,701.5E-3
32.71E-9,1.028
33.09E-9,1.323
33.43E-9,1.514
33.82E-9,1.649
34.35E-9,1.742
34.74E-9,1.771
35.15E-9,1.787
35.61E-9,1.794
36.21E-9,1.798
36.99E-9,1.800
38.08E-9,1.800
39.04E-9,1.800
