time (s),/M0/D (A)
0.000,5.466E-12
37.05E-12,-168.7E-9
65.57E-12,-173.7E-9
118.9E-12,-197.4E-9
225.4E-12,31.82E-9
438.5E-12,29.64E-6
666.2E-12,106.7E-6
833.1E-12,173.0E-6
1.000E-9,241.4E-6
1.027E-9,241.6E-6
1.080E-9,241.3E-6
1.129E-9,241.0E-6
1.226E-9,240.4E-6
1.421E-9,238.9E-6
1.810E-9,233.8E-6
2.188E-9,217.5E-6
2.552E-9,172.0E-6
2.929E-9,112.0E-6
3.295E-9,63.44E-6
3.662E-9,32.43E-6
4.086E-9,13.63E-6
4.491E-9,5.775E-6
4.957E-9,2.051E-6
5.521E-9,553.7E-9
6.290E-9,58.36E-9
7.385E-9,1.568E-9
9.127E-9,-6.096E-9
11.00E-9,5.609E-9
11.08E-9,425.3E-9
11.20E-9,214.0E-9
11.41E-9,2.277E-6
11.68E-9,3.657E-6
11.87E-9,472.4E-9
12.00E-9,870.7E-9
12.02E-9,546.1E-9
12.07E-9,532.0E-9
12.11E-9,526.7E-9
12.20E-9,505.7E-9
12.37E-9,476.1E-9
12.70E-9,397.5E-9
13.08E-9,287.9E-9
13.42E-9,184.1E-9
13.81E-9,106.2E-9
14.18E-9,53.63E-9
14.57E-9,30.33E-9
14.96E-9,11.95E-9
15.41E-9,8.120E-9
15.95E-9,119.4E-12
16.64E-9,2.552E-9
17.57E-9,-1.977E-9
18.89E-9,2.037E-9
20.00E-9,-2.032E-9
20.07E-9,-170.9E-9
20.17E-9,-207.3E-9
20.32E-9,5.309E-6
20.52E-9,54.31E-6
20.73E-9,133.3E-6
20.87E-9,187.1E-6
21.00E-9,241.3E-6
21.02E-9,241.6E-6
21.07E-9,241.4E-6
21.11E-9,241.1E-6
21.20E-9,240.6E-6
21.37E-9,239.3E-6
21.71E-9,235.6E-6
22.17E-9,219.2E-6
22.55E-9,172.5E-6
22.95E-9,109.6E-6
23.31E-9,61.93E-6
23.68E-9,31.47E-6
24.10E-9,13.20E-6
24.51E-9,5.573E-6
24.98E-9,1.963E-6
25.55E-9,520.7E-9
26.33E-9,51.49E-9
27.44E-9,1.461E-9
29.22E-9,-5.865E-9
31.00E-9,5.470E-9
31.08E-9,428.8E-9
