time (s),Id,Vd
4.80E-08,-9.68E-09,-6.66E-06
5.10E-08,9.66E-09,-7.79E-07
5.11E-08,7.76E-07,2.29E-07
5.12E-08,8.47E-07,-3.19E-04
5.14E-08,-1.47E-05,-7.88E-04
5.15E-08,-5.73E-05,3.79E-03
5.17E-08,-1.22E-04,6.82E-02
5.18E-08,-1.87E-04,1.86E-01
5.19E-08,-2.43E-04,3.13E-01
5.20E-08,-2.87E-04,3.39E-01
5.20E-08,-2.80E-04,3.91E-01
5.21E-08,-2.62E-04,4.37E-01
5.21E-08,-2.43E-04,5.27E-01
5.22E-08,-1.97E-04,7.04E-01
5.23E-08,-1.34E-04,1.033
5.25E-08,-5.35E-05,1.326
5.26E-08,-2.60E-05,1.516
5.28E-08,-1.26E-05,1.65
5.29E-08,-6.09E-06,1.742
5.31E-08,-2.37E-06,1.771
5.33E-08,-6.59E-07,1.786
5.36E-08,-1.03E-07,1.794
5.40E-08,1.32E-08,1.798
5.46E-08,-9.26E-09,1.8
5.57E-08,9.49E-09,1.8
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
