time (s),Id,Vd,,,,
5.13E-08,-3.83E-08,6.82E-02,,,,
5.15E-08,-4.20E-05,1.86E-01,,,,
5.17E-08,-1.50E-04,3.13E-01,,,,
5.19E-08,-2.35E-04,3.39E-01,,,,
5.20E-08,-3.23E-04,3.91E-01,,,,
5.20E-08,-3.23E-04,4.37E-01,,,,
5.21E-08,-3.21E-04,5.27E-01,,,,
5.21E-08,-3.19E-04,7.04E-01,,,,
5.22E-08,-3.14E-04,1.033,,,,
5.24E-08,-3.03E-04,1.326,,,,
5.28E-08,-2.65E-04,1.516,,,,
5.31E-08,-1.96E-04,1.65,,,,
5.35E-08,-1.28E-04,1.742,,,,
5.39E-08,-7.09E-05,1.771,,,,
5.44E-08,-3.04E-05,1.786,,,,
5.47E-08,-1.56E-05,1.794,,,,
5.52E-08,-7.22E-06,1.798,,,,
5.56E-08,-3.16E-06,1.8,,,,
5.62E-08,-8.66E-07,1.8,,,,
5.70E-08,-2.48E-07,"1,8",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5.81E-08,7.35E-08,,,,,
5.96E-08,-7.30E-08,,,,,
6.24E-08,7.41E-08,,,,,
6.64E-08,-7.43E-08,,,,,
7.04E-08,7.44E-08,,,,,
7.44E-08,-7.44E-08,,,,,
7.84E-08,7.44E-08,,,,,
8.24E-08,-7.45E-08,,,,,
8.64E-08,7.45E-08,,,,,
9.04E-08,-7.45E-08,,,,,
9.44E-08,7.45E-08,,,,,
9.72E-08,-7.45E-08,,,,,
1.00E-07,7.45E-08,,,,,
1.00E-07,-2.00E-06,,,,,
1.00E-07,-1.86E-06,,,,,
1.01E-07,-6.76E-06,,,,,
1.01E-07,-2.40E-06,,,,,
1.01E-07,-1.95E-06,,,,,
1.01E-07,-1.50E-06,,,,,
1.01E-07,-1.47E-06,,,,,
1.01E-07,-1.46E-06,,,,,
1.01E-07,-1.42E-06,,,,,
1.02E-07,-1.37E-06,,,,,
1.02E-07,-1.24E-06,,,,,
1.02E-07,-1.05E-06,,,,,
1.03E-07,-6.50E-07,,,,,
1.03E-07,-3.99E-07,,,,,
1.04E-07,-1.50E-07,,,,,
1.04E-07,-7.17E-08,,,,,
1.05E-07,-1.47E-08,,,,,
1.05E-07,-1.97E-08,,,,,
1.06E-07,8.07E-09,,,,,
1.06E-07,-1.07E-08,,,,,
1.08E-07,1.05E-08,,,,,
1.09E-07,-1.05E-08,,,,,
1.13E-07,1.05E-08,,,,,
1.17E-07,-1.05E-08,,,,,
1.21E-07,1.05E-08,,,,,
1.25E-07,-1.05E-08,,,,,
1.29E-07,1.05E-08,,,,,
1.33E-07,-1.05E-08,,,,,
1.37E-07,1.05E-08,,,,,
1.41E-07,-1.05E-08,,,,,
1.45E-07,1.05E-08,,,,,
1.48E-07,-1.05E-08,,,,,
1.51E-07,1.05E-08,,,,,
1.51E-07,7.94E-07,,,,,
1.51E-07,-3.83E-08,,,,,
1.52E-07,-8.13E-05,,,,,
1.52E-07,-1.94E-04,,,,,
1.52E-07,-2.58E-04,,,,,
1.52E-07,-3.23E-04,,,,,
1.52E-07,-3.23E-04,,,,,
1.52E-07,-3.21E-04,,,,,
1.52E-07,-3.19E-04,,,,,
1.52E-07,-3.16E-04,,,,,
1.52E-07,-3.07E-04,,,,,
1.53E-07,-2.81E-04,,,,,
1.53E-07,-2.13E-04,,,,,
1.53E-07,-1.45E-04,,,,,
1.54E-07,-8.47E-05,,,,,
1.54E-07,-5.04E-05,,,,,
1.55E-07,-2.58E-05,,,,,
1.55E-07,-1.30E-05,,,,,
1.55E-07,-5.93E-06,,,,,
1.56E-07,-2.15E-06,,,,,
1.56E-07,-6.96E-07,,,,,
1.57E-07,-3.46E-09,,,,,
1.59E-07,-8.04E-08,,,,,
1.60E-07,8.50E-08,,,,,
1.64E-07,-8.50E-08,,,,,
1.68E-07,8.51E-08,,,,,
1.72E-07,-8.52E-08,,,,,
1.76E-07,8.52E-08,,,,,
1.80E-07,-8.53E-08,,,,,
1.84E-07,8.53E-08,,,,,
1.88E-07,-8.53E-08,,,,,
1.92E-07,8.53E-08,,,,,
1.96E-07,-8.53E-08,,,,,
1.98E-07,8.53E-08,,,,,
2.00E-07,-8.53E-08,,,,,
